time,thumb,index,middle,ring,little
0,0.02,0.04,0.02,-0.02,0.03
1,-0.05,0.01,0.02,-0.03,0.02
2,-0.04,0.02,0.02,0.01,0.01
3,0.04,-0.0,0.01,0.01,0.03
4,-0.13,-0.03,0.02,-0.0,-0.01
5,-0.05,0.01,0.03,-0.06,-0.0
6,-0.08,0.03,-0.01,-0.02,-0.02
7,-0.03,0.01,0.01,-0.01,0.0
8,-0.01,0.0,0.01,0.0,-0.01
9,-0.02,0.01,0.04,-0.03,-0.05
10,-0.09,-0.02,-0.01,-0.02,0.0
11,0.01,0.03,-0.01,-0.03,-0.01
12,-0.0,0.03,0.01,-0.02,0.03
13,-0.0,-0.04,-0.02,-0.04,0.03
14,-0.05,-0.0,-0.01,-0.02,-0.02
15,-0.07,0.03,0.03,-0.08,-0.04
16,0.0,0.02,0.02,-0.01,0.01
17,-0.03,-0.03,0.0,-0.0,-0.05
18,-0.08,-0.0,-0.01,-0.03,-0.02
19,-0.08,-0.02,-0.02,0.01,-0.02
20,0.0,0.02,0.01,-0.02,0.02
21,-0.08,0.02,0.02,-0.05,0.02
22,-0.04,-0.03,0.01,0.01,0.0
23,-0.07,-0.01,0.01,-0.05,0.01
24,0.04,0.03,0.0,-0.01,0.02
25,-0.02,-0.0,0.01,-0.02,0.0
26,-0.08,-0.01,-0.03,-0.01,0.0
27,-0.06,-0.0,0.01,-0.07,-0.02
28,-0.08,-0.0,-0.01,-0.02,0.03
29,0.0,0.02,-0.0,-0.02,0.0
30,-0.06,0.02,-0.04,-0.05,-0.01
31,-0.05,0.01,-0.0,-0.0,-0.02
32,-0.0,0.03,-0.0,0.0,-0.0
33,0.02,-0.0,0.0,0.0,0.03
34,-0.05,0.06,-0.03,0.01,0.09
35,0.08,0.13,0.03,0.1,0.49
36,0.16,0.54,0.2,0.19,1.04
37,0.28,1.02,0.36,0.29,1.41
38,0.2,1.3,0.47,0.31,1.7
39,0.3,1.4,0.56,0.39,2.45
40,0.24,1.48,0.77,0.44,3.37
41,0.29,1.53,0.95,0.55,4.06
42,0.3,1.46,0.94,0.56,3.37
43,0.27,1.53,0.88,0.53,3.26
44,0.22,1.33,0.94,0.67,3.26
45,0.28,1.35,1.16,0.78,3.87
46,0.42,1.52,1.21,0.99,4.31
47,0.38,1.66,1.36,1.24,3.69
48,0.3,1.49,1.58,1.29,3.41
49,0.37,1.53,1.79,1.24,3.02
50,0.45,1.41,1.63,1.32,3.22
51,0.32,1.4,1.53,1.09,3.19
52,0.37,1.34,1.51,1.17,2.89
53,0.33,1.28,1.48,1.29,2.63
54,0.38,1.34,1.51,1.16,2.89
55,0.27,1.15,1.45,1.15,2.89
56,0.33,1.28,1.47,1.11,2.71
57,0.26,1.34,1.46,1.05,2.47
58,0.31,1.3,1.45,1.04,2.77
59,0.29,1.26,1.4,1.09,2.69
60,0.19,1.3,1.4,1.11,2.69
61,0.22,1.19,1.45,0.99,2.5
62,0.23,1.22,1.39,1.02,2.74
63,0.32,1.29,1.38,0.97,2.45
64,0.24,1.22,1.45,0.98,2.3
65,0.18,1.23,1.32,0.89,2.32
66,0.25,1.21,1.35,0.86,2.32
67,0.3,1.21,1.38,1.07,2.58
68,0.26,1.21,1.39,0.88,2.4
69,0.22,1.12,1.31,0.95,2.37
70,0.27,1.31,1.32,0.92,2.37
71,0.26,1.22,1.35,0.88,2.4
72,0.15,1.16,1.36,0.89,2.04
73,0.23,1.16,1.31,0.9,2.32
74,0.22,1.24,1.34,0.86,2.25
75,0.32,1.13,1.28,0.9,2.5
76,0.16,1.17,1.28,0.82,2.32
77,0.24,1.05,1.29,0.89,2.4
78,0.07,1.17,1.16,0.88,2.25
