time,thumb,index,middle,ring,little
0,-0.01,-0.0,-0.02,0.0,-0.03
1,-0.12,-0.04,-0.03,-0.02,-0.05
2,-0.0,-0.02,-0.02,-0.02,-0.04
3,-0.0,0.0,-0.0,0.0,0.02
4,-0.07,-0.01,-0.02,-0.02,-0.02
5,-0.07,-0.03,-0.04,-0.04,-0.08
6,-0.07,0.01,-0.02,-0.02,-0.04
7,-0.02,0.0,0.01,0.0,0.01
8,0.02,-0.01,-0.04,0.02,0.01
9,-0.09,-0.02,-0.05,-0.04,-0.06
10,-0.06,-0.02,-0.05,-0.04,-0.07
11,0.02,0.01,-0.01,0.02,0.03
12,-0.02,-0.01,-0.01,0.04,0.01
13,-0.08,-0.01,-0.01,-0.03,-0.04
14,-0.12,-0.04,-0.03,-0.02,-0.05
15,-0.07,-0.01,-0.02,-0.02,-0.02
16,-0.04,-0.01,0.0,0.03,0.01
17,-0.03,-0.02,0.02,-0.02,-0.03
18,-0.13,-0.03,-0.04,-0.04,-0.06
19,-0.05,-0.03,-0.02,-0.02,-0.03
20,-0.0,0.0,-0.01,0.0,0.04
21,0.0,-0.0,0.01,-0.01,-0.0
22,-0.07,0.01,-0.03,-0.03,-0.06
23,-0.03,0.0,-0.03,-0.02,-0.03
24,0.05,0.03,0.02,0.01,0.03
25,0.01,0.02,0.01,0.01,0.02
26,-0.05,-0.0,-0.02,-0.02,-0.05
27,-0.03,-0.01,-0.01,-0.02,-0.06
28,-0.03,0.01,0.01,-0.0,0.02
29,-0.01,0.02,0.0,-0.0,0.01
30,-0.04,-0.01,-0.01,-0.03,-0.02
31,-0.13,-0.01,-0.03,-0.03,-0.06
32,-0.06,0.0,-0.02,-0.02,-0.03
33,0.06,0.03,0.01,0.01,0.04
34,-0.04,0.01,-0.0,-0.01,-0.02
35,-0.08,-0.01,-0.02,-0.04,-0.08
36,-0.05,-0.01,-0.01,-0.02,-0.03
37,-0.02,0.03,0.03,0.01,0.01
38,0.0,0.02,0.04,-0.0,0.0
39,-0.09,-0.01,0.01,-0.04,-0.07
40,0.74,2.12,0.8,0.0,-0.03
41,1.55,2.02,1.02,0.13,0.08
42,1.45,1.73,0.9,0.14,0.09
43,1.16,1.73,0.85,0.03,-0.0
44,0.99,2.07,0.78,0.07,-0.01
45,1.19,1.61,0.66,0.13,0.03
46,0.92,0.73,0.4,0.15,0.09
47,0.59,0.48,0.29,0.09,0.05
48,0.46,0.34,0.22,0.09,0.01
49,0.52,0.3,0.22,0.13,0.08
50,0.52,0.27,0.2,0.13,0.13
51,0.42,0.26,0.21,0.11,0.11
52,0.98,1.46,0.35,0.1,0.01
53,1.04,1.93,1.03,0.23,0.05
54,1.24,1.87,1.03,0.23,0.14
55,1.41,2.43,1.03,0.18,0.11
56,1.11,1.49,0.68,0.18,0.05
57,1.09,0.66,0.37,0.18,0.04
58,0.68,0.44,0.31,0.2,0.06
59,0.88,0.38,0.24,0.21,0.12
60,0.76,0.44,0.3,0.17,0.11
61,1.06,2.29,0.77,0.18,0.04
62,1.38,1.78,1.08,0.33,0.08
63,1.78,1.74,1.08,0.35,0.16
64,1.34,1.54,0.96,0.27,0.07
65,1.09,2.17,0.95,0.24,0.03
66,0.8,1.68,0.67,0.23,0.03
67,1.17,0.86,0.43,0.27,0.1
68,0.95,0.55,0.33,0.24,0.09
69,0.68,0.48,0.25,0.15,0.04
70,1.35,1.8,0.45,0.15,0.02
71,1.87,1.91,1.08,0.18,0.06
72,1.47,1.77,1.01,0.13,0.08
73,1.27,1.63,0.89,0.1,-0.01
74,0.85,2.72,0.92,0.08,-0.02
75,1.33,1.67,0.49,0.08,0.05
76,1.29,0.82,0.37,0.12,0.05
77,0.83,0.57,0.26,0.09,0.02
78,0.72,0.8,0.25,0.04,-0.05
79,0.78,1.54,0.51,0.07,0.01
80,1.37,2.39,0.83,0.1,0.07
81,1.61,1.9,0.93,0.06,0.03
82,0.94,1.54,0.84,0.04,-0.04
83,0.87,1.41,0.8,0.06,-0.03
84,1.24,1.56,0.84,0.1,0.05
85,1.17,1.63,0.8,0.08,0.04
86,1.13,1.56,0.7,0.07,0.01
87,1.24,2.31,0.7,0.04,-0.03
88,0.95,1.02,0.42,0.03,0.03
89,1.07,0.61,0.32,0.09,0.03
90,0.84,0.76,0.3,0.03,0.03
91,0.97,2.28,0.85,0.08,-0.03
92,1.22,1.87,1.0,0.11,-0.05
93,1.41,1.73,1.01,0.14,0.07
94,1.14,1.58,0.88,0.05,-0.04
95,1.11,1.77,0.88,0.07,-0.06
96,1.17,2.01,0.74,0.12,-0.03
97,1.51,1.45,0.55,0.11,0.01
98,0.99,0.61,0.36,0.09,0.02
99,0.56,0.45,0.22,0.05,-0.07
100,1.05,0.5,0.24,0.05,-0.08
101,1.31,2.01,0.51,0.08,-0.01
102,1.71,1.99,1.05,0.08,0.02
103,1.29,1.74,0.96,0.07,-0.03
104,1.0,1.56,0.89,0.03,-0.06
105,0.88,2.02,1.1,0.05,-0.04
106,1.31,2.29,0.65,0.07,0.02
107,1.06,0.85,0.43,0.03,-0.01
108,0.74,0.56,0.26,0.0,-0.06
109,0.85,0.55,0.26,0.02,-0.03
110,1.2,2.22,0.7,0.06,0.03
111,1.68,2.19,1.12,0.06,-0.01
112,1.14,1.68,0.95,0.06,-0.05
113,1.09,1.57,0.96,0.14,-0.06
114,1.26,1.63,1.0,0.15,0.01
115,0.97,2.1,1.16,0.14,0.03
116,1.25,1.71,0.61,0.09,-0.06
117,0.72,0.74,0.38,0.07,-0.04
118,0.88,0.57,0.34,0.08,-0.01
119,0.95,0.72,0.37,0.1,0.06
120,1.19,2.61,0.74,0.11,0.01
121,0.68,1.77,1.11,0.14,-0.06
122,1.11,1.7,1.06,0.15,-0.03
123,1.11,1.68,1.02,0.16,0.03
124,0.97,1.63,0.99,0.12,0.0
125,0.94,2.21,0.96,0.1,-0.07
126,0.72,1.71,0.58,0.11,-0.06
127,1.22,0.75,0.41,0.13,0.03
128,0.96,0.55,0.34,0.11,0.02
129,0.63,0.48,0.27,0.08,-0.02
130,0.9,1.8,0.57,0.07,-0.05
131,1.27,1.96,1.08,0.14,0.01
132,1.89,1.9,1.14,0.1,0.01
133,1.13,1.62,1.0,0.1,-0.03
134,1.04,1.45,0.96,0.05,-0.07
135,1.11,2.15,1.18,0.08,-0.04
136,1.43,2.28,0.7,0.11,0.03
137,1.43,0.86,0.38,0.07,-0.04
138,0.71,0.52,0.27,0.06,-0.08
139,1.19,1.07,0.43,0.08,-0.08
140,1.47,2.59,0.99,0.13,0.01
141,1.17,1.93,1.08,0.05,-0.0
142,1.11,1.64,0.9,0.03,-0.08
143,1.02,1.57,0.84,0.03,-0.07
144,1.15,1.71,0.89,0.01,-0.06
145,1.17,2.29,0.86,0.06,-0.0
146,0.94,1.15,0.42,0.04,-0.07
147,0.69,0.61,0.29,0.02,-0.06
148,0.8,0.57,0.29,0.03,-0.03
149,1.22,1.7,0.5,0.05,-0.01
150,1.51,2.07,0.95,0.02,-0.02
151,1.1,1.62,0.94,-0.01,-0.12
152,1.21,1.64,0.88,-0.0,-0.05
153,1.16,1.68,0.9,0.02,-0.02
154,1.15,2.02,0.9,0.04,-0.02
