time,thumb,index,middle,ring,little
0,0.01,0.01,0.01,-0.04,0.01
1,-0.09,0.01,-0.0,-0.04,-0.05
2,-0.01,0.01,-0.05,-0.0,0.04
3,0.03,-0.01,-0.01,-0.02,-0.01
4,-0.03,-0.01,-0.01,-0.03,-0.03
5,-0.06,-0.01,-0.03,-0.03,-0.09
6,-0.03,-0.02,-0.03,-0.0,-0.04
7,0.01,0.01,-0.01,-0.01,0.01
8,-0.04,0.01,-0.03,-0.03,-0.01
9,-0.03,-0.01,-0.02,-0.03,-0.05
10,-0.05,-0.01,-0.05,-0.09,-0.05
11,0.04,0.01,-0.02,-0.0,0.02
12,0.01,-0.03,-0.01,-0.01,-0.04
13,-0.01,0.0,-0.02,-0.02,-0.01
14,-0.1,-0.03,-0.05,-0.03,-0.04
15,0.03,-0.0,-0.02,0.01,0.01
16,-0.04,0.01,-0.03,-0.01,-0.02
17,0.05,-0.03,-0.02,-0.07,-0.01
18,-0.05,-0.05,-0.03,-0.04,-0.07
19,-0.0,0.01,-0.0,-0.0,0.0
20,-0.01,-0.01,-0.03,-0.02,-0.03
21,-0.02,0.03,-0.03,-0.04,-0.03
22,-0.06,0.01,-0.03,-0.04,-0.05
23,-0.01,-0.02,0.01,-0.04,-0.06
24,0.03,0.01,-0.02,-0.01,-0.0
25,-0.04,0.03,-0.03,-0.03,-0.01
26,-0.03,-0.02,-0.01,-0.04,-0.07
27,-0.09,-0.02,-0.05,0.01,-0.03
28,-0.0,0.01,-0.02,-0.03,-0.01
29,-0.06,0.01,-0.04,0.01,0.0
30,-0.02,0.01,0.0,-0.02,-0.02
31,-0.02,-0.01,-0.01,-0.04,0.0
32,0.03,0.03,0.0,-0.0,0.01
33,-0.02,-0.02,0.02,-0.03,-0.01
34,0.04,0.06,0.05,0.0,0.02
35,-0.06,0.23,0.1,0.01,-0.07
36,0.24,0.59,0.19,0.01,0.01
37,0.15,1.01,0.26,0.01,-0.0
38,0.19,1.33,0.38,0.05,0.02
39,0.19,1.45,0.56,0.05,-0.02
40,0.33,1.61,0.72,0.09,0.02
41,0.63,1.69,0.79,0.12,0.04
42,0.53,1.51,0.76,0.13,0.05
43,0.51,1.48,0.86,0.18,0.03
44,0.7,1.64,0.93,0.29,0.01
45,0.8,1.53,0.94,0.2,0.11
46,0.66,1.56,0.86,0.21,0.06
47,0.65,1.44,0.82,0.11,0.02
48,0.55,1.4,0.9,0.12,0.03
49,0.9,1.44,0.85,0.11,0.06
50,0.65,1.39,0.76,0.09,-0.02
51,0.68,1.33,0.76,0.14,0.01
52,0.57,1.22,0.79,0.08,0.01
53,0.77,1.39,0.83,0.1,0.04
54,0.56,1.32,0.85,0.08,0.01
55,0.74,1.31,0.83,0.08,0.02
56,0.45,1.24,0.74,0.08,-0.05
57,0.7,1.38,0.74,0.06,0.03
58,0.6,1.33,0.79,0.06,-0.0
59,0.55,1.29,0.76,0.09,0.01
60,0.4,1.26,0.77,0.08,-0.05
61,0.49,1.28,0.77,0.04,-0.03
62,0.74,1.31,0.78,0.04,-0.0
63,0.58,1.27,0.72,0.01,0.01
64,0.56,1.27,0.77,0.01,-0.07
65,0.57,1.27,0.77,-0.0,-0.07
66,0.67,1.26,0.78,0.04,-0.01
67,0.44,1.38,0.77,0.04,-0.06
68,0.61,1.34,0.76,0.01,-0.04
69,0.45,1.31,0.68,0.03,-0.07
70,0.73,1.28,0.76,0.03,-0.02
71,0.44,1.31,0.79,-0.0,-0.01
72,0.6,1.28,0.79,-0.03,-0.07
73,0.47,1.21,0.75,0.01,-0.1
74,0.7,1.3,0.79,0.01,-0.02
75,0.68,1.26,0.73,-0.01,-0.05
76,0.58,1.23,0.8,0.05,-0.04
77,0.27,1.18,0.76,-0.04,-0.07
78,0.54,1.22,0.78,0.03,-0.02
79,0.63,1.27,0.75,-0.01,-0.06
80,0.57,1.24,0.64,-0.05,-0.07
81,0.49,1.16,0.76,0.0,-0.06
82,0.62,1.21,0.74,0.03,-0.06
83,0.73,1.28,0.74,0.01,-0.04
84,0.56,1.09,0.72,-0.06,-0.06
85,0.48,1.24,0.75,-0.01,-0.1
86,0.58,1.17,0.67,-0.05,-0.1
87,0.61,1.22,0.74,-0.01,-0.05
88,0.52,1.14,0.79,-0.01,-0.03
89,0.46,1.19,0.79,-0.03,-0.07
90,0.38,1.15,0.71,-0.05,-0.11
91,0.68,1.22,0.73,0.0,-0.06
92,0.45,1.17,0.67,-0.03,-0.09
93,0.5,1.07,0.71,0.01,-0.1
94,0.37,1.21,0.68,-0.0,-0.11
95,0.66,1.18,0.74,-0.0,-0.06
96,0.54,1.23,0.72,-0.02,-0.08
97,0.51,1.18,0.73,-0.03,-0.08
98,0.34,1.2,0.66,-0.06,-0.14
99,0.48,1.22,0.74,-0.01,-0.05
100,0.55,1.2,0.69,-0.02,-0.07
101,0.48,1.15,0.72,-0.02,-0.07
102,0.43,1.21,0.7,-0.05,-0.09
103,0.55,1.13,0.71,-0.03,-0.08
104,0.63,1.19,0.68,-0.03,-0.07
105,0.59,1.24,0.77,-0.03,-0.11
106,0.42,1.11,0.69,-0.03,-0.11
107,0.47,1.09,0.7,0.01,-0.11
108,0.56,1.16,0.7,-0.03,-0.1
109,0.38,1.1,0.72,0.02,-0.05
110,0.49,1.16,0.7,-0.04,-0.09
111,0.38,1.13,0.71,-0.07,-0.15
112,0.62,1.16,0.73,-0.02,-0.07
113,0.38,1.13,0.69,-0.0,-0.08
114,0.46,1.17,0.7,-0.03,-0.09
115,0.37,1.1,0.69,-0.06,-0.13
116,0.57,1.16,0.71,-0.03,-0.07
117,0.42,1.12,0.72,-0.02,-0.15
118,0.45,1.03,0.7,-0.07,-0.09
119,0.38,1.03,0.64,-0.07,-0.15
120,0.45,1.13,0.72,-0.01,-0.09
121,0.49,1.11,0.72,-0.03,-0.09
122,0.4,1.08,0.66,-0.03,-0.09
123,0.37,1.16,0.68,-0.03,-0.14
124,0.44,1.15,0.79,-0.04,-0.16
125,0.57,1.09,0.68,-0.04,-0.09
126,0.42,1.23,0.68,-0.06,-0.08
127,0.37,1.07,0.68,-0.06,-0.11
128,0.31,1.1,0.74,-0.08,-0.13
129,0.52,1.09,0.68,-0.05,-0.09
