time,thumb,index,middle,ring,little
0,-0.06,-0.01,0.0,-0.0,-0.03
1,0.01,-0.0,-0.01,0.01,0.04
2,-0.04,0.0,0.02,0.01,0.04
3,-0.02,0.02,-0.0,-0.01,0.02
4,-0.08,-0.02,-0.02,-0.0,-0.02
5,0.0,-0.0,0.02,-0.02,0.03
6,0.04,0.01,0.0,0.02,0.05
7,-0.0,0.04,-0.02,-0.02,0.05
8,-0.07,-0.02,-0.02,-0.03,-0.06
9,-0.02,-0.02,-0.04,-0.08,-0.09
10,0.02,0.02,-0.0,0.03,0.06
11,-0.03,0.02,0.03,-0.01,0.05
12,-0.05,-0.02,-0.02,-0.01,-0.04
13,-0.02,-0.01,-0.02,-0.01,-0.02
14,0.02,0.0,0.02,0.02,0.06
15,-0.01,-0.04,0.0,-0.01,0.07
16,-0.06,-0.05,-0.02,-0.02,-0.04
17,-0.05,-0.03,0.03,-0.05,-0.04
18,0.01,0.0,0.02,-0.03,0.03
19,0.0,0.03,-0.01,0.0,0.06
20,-0.02,0.02,-0.03,-0.01,0.01
21,-0.06,-0.02,-0.01,-0.0,-0.02
22,-0.04,-0.02,-0.03,-0.01,0.01
23,0.0,-0.0,0.01,0.01,0.09
24,-0.06,-0.01,0.04,-0.06,-0.0
25,-0.1,-0.02,-0.02,-0.04,-0.05
26,-0.01,0.04,0.03,0.02,-0.0
27,0.01,0.01,0.0,0.03,0.09
28,0.0,-0.03,-0.06,-0.02,0.06
29,-0.08,-0.02,-0.02,-0.03,-0.05
30,-0.07,-0.02,-0.01,0.02,-0.02
31,0.02,0.02,0.01,0.03,0.06
32,-0.05,-0.0,-0.01,0.04,-0.03
33,-0.08,-0.02,-0.02,-0.03,-0.03
34,-0.05,-0.02,-0.01,0.01,-0.02
35,-0.0,0.0,0.02,0.04,0.0
36,-0.03,0.01,0.0,0.05,-0.02
37,-0.08,-0.02,-0.0,0.0,-0.02
38,-0.07,-0.0,-0.02,-0.0,-0.03
39,-0.04,-0.0,-0.0,0.04,-0.03
40,0.01,0.01,0.01,-0.04,0.04
41,-0.06,-0.02,0.03,-0.03,0.01
42,-0.09,-0.0,-0.01,-0.03,-0.03
43,-0.05,-0.01,-0.02,-0.06,-0.03
44,0.03,0.01,0.01,0.05,0.05
45,-0.03,0.01,-0.06,-0.02,0.02
46,-0.09,-0.02,-0.02,-0.01,-0.07
47,-0.04,-0.02,-0.01,-0.03,-0.03
48,0.0,0.0,0.01,-0.0,0.06
49,-0.08,0.02,-0.0,0.03,0.04
50,-0.1,-0.04,-0.02,-0.02,-0.05
51,-0.06,0.01,-0.03,-0.01,-0.03
