time,thumb,index,middle,ring,little
0,-0.08,-0.03,-0.02,-0.01,-0.02
1,0.04,0.03,-0.01,-0.04,-0.0
2,0.05,-0.02,-0.0,0.04,-0.0
3,-0.04,-0.02,-0.02,-0.02,-0.06
4,-0.07,-0.02,-0.02,-0.04,-0.0
5,-0.01,-0.04,-0.02,0.03,0.05
6,0.04,0.01,-0.0,0.01,0.07
7,-0.08,-0.05,-0.03,0.03,0.02
8,-0.06,-0.02,-0.02,-0.01,-0.03
9,-0.07,-0.06,-0.07,-0.0,-0.0
10,0.05,0.01,-0.0,0.05,0.07
11,-0.09,-0.01,-0.01,-0.0,0.03
12,-0.06,-0.02,-0.05,-0.04,-0.05
13,-0.09,-0.02,-0.02,-0.01,-0.04
14,-0.01,-0.03,0.01,0.04,0.04
15,-0.02,-0.06,-0.0,-0.0,0.02
16,-0.07,-0.02,0.0,-0.01,-0.04
17,-0.11,-0.01,-0.05,0.02,-0.06
18,0.05,-0.03,-0.0,0.03,0.05
19,-0.06,-0.01,-0.0,0.03,0.04
20,-0.08,-0.02,0.01,0.03,-0.05
21,-0.11,-0.03,-0.02,-0.04,-0.03
22,-0.05,0.01,-0.02,-0.01,0.05
23,-0.02,-0.01,-0.02,-0.0,0.08
24,-0.09,-0.04,-0.08,-0.08,0.06
25,-0.16,-0.03,-0.04,-0.01,-0.04
26,-0.06,0.0,0.01,-0.02,-0.0
27,0.01,-0.0,0.0,0.04,0.09
28,-0.07,0.01,-0.04,-0.02,0.02
29,-0.14,-0.02,-0.02,-0.02,-0.03
30,-0.09,-0.08,0.01,-0.02,-0.06
31,-0.01,-0.02,-0.01,0.02,0.05
32,-0.03,-0.02,0.01,0.05,0.02
33,-0.09,-0.04,-0.05,-0.01,-0.06
34,0.57,1.3,0.53,0.15,0.02
35,1.56,2.15,1.09,1.04,0.18
36,1.24,1.84,1.11,1.34,0.12
37,0.96,1.73,0.92,0.98,0.07
38,0.89,1.93,0.99,1.0,0.07
39,1.1,1.6,0.72,0.56,0.16
40,0.8,0.7,0.52,0.58,0.12
41,0.5,0.59,0.36,0.41,0.08
42,0.53,0.79,0.34,0.45,0.03
43,0.85,2.15,0.87,0.62,0.11
44,1.24,1.97,1.03,1.41,0.13
45,1.21,1.58,1.04,0.97,0.1
46,0.8,1.51,0.85,0.86,0.02
47,0.97,1.58,0.85,1.57,0.12
48,1.07,2.5,0.94,0.75,0.15
49,0.78,0.91,0.39,0.67,0.15
50,0.45,0.56,0.36,0.55,0.04
51,0.42,0.56,0.33,0.58,0.05
52,1.16,2.03,0.72,0.67,0.08
53,0.98,2.0,1.04,1.59,0.11
54,1.06,1.54,1.15,1.11,0.03
55,1.01,1.55,0.95,1.01,0.06
56,1.21,1.99,1.03,2.08,0.13
57,1.03,2.7,0.94,1.29,0.12
58,0.66,1.04,0.48,0.9,0.08
59,0.53,0.56,0.39,0.76,0.03
60,0.66,0.7,0.42,0.66,0.07
61,1.14,2.41,0.95,0.91,0.13
62,1.13,1.94,1.2,1.63,0.09
63,0.75,1.57,1.09,1.47,0.05
64,0.78,1.73,1.06,1.4,0.07
65,1.27,1.64,1.12,1.67,0.13
66,1.09,2.0,1.35,1.31,0.08
67,0.78,1.59,0.71,0.69,-0.0
68,0.6,0.69,0.47,0.57,0.0
69,0.54,0.58,0.46,0.56,0.07
70,0.49,0.62,0.44,0.61,0.13
71,0.78,1.6,0.63,0.49,0.02
72,0.9,1.93,0.98,0.66,0.05
73,1.34,2.0,1.28,1.63,0.05
74,1.06,1.8,1.03,1.4,0.11
75,0.94,1.33,0.98,0.93,0.02
76,0.98,1.94,1.11,1.01,0.01
77,0.64,1.53,0.75,0.65,0.12
78,0.85,0.73,0.46,0.66,0.12
79,0.44,0.45,0.29,0.55,0.05
80,0.29,0.46,0.28,0.47,-0.0
81,1.01,1.58,0.5,0.64,0.08
82,1.38,2.2,1.12,0.97,0.11
83,1.12,1.94,1.18,1.53,0.09
84,0.89,1.58,1.06,1.33,0.03
85,0.91,1.52,0.99,1.49,0.07
86,1.36,2.28,1.17,1.98,0.16
87,0.89,2.02,0.78,1.04,0.15
88,0.6,0.71,0.45,0.68,0.01
89,0.46,0.55,0.39,0.63,0.0
90,0.99,1.22,0.51,0.83,0.13
