time,thumb,index,middle,ring,little
0,-0.03,0.01,-0.0,0.01,-0.04
1,0.05,0.01,0.02,0.02,0.02
2,-0.01,0.01,0.01,0.02,0.02
3,-0.0,0.01,0.03,0.02,0.0
4,-0.01,0.0,-0.04,-0.03,-0.05
5,0.02,-0.02,0.03,0.03,-0.03
6,0.06,0.0,0.02,0.02,-0.01
7,-0.01,-0.01,0.03,0.07,-0.05
8,0.02,-0.01,0.02,-0.01,-0.03
9,0.06,-0.02,0.02,0.01,0.01
10,0.06,0.0,0.01,0.0,-0.01
11,-0.05,0.02,0.01,0.02,-0.02
12,0.04,0.01,0.01,-0.01,-0.02
13,-0.05,0.02,-0.0,-0.02,0.0
14,0.1,0.01,0.01,0.01,-0.0
15,-0.01,-0.0,0.01,-0.02,-0.01
16,0.05,0.01,0.01,-0.01,0.03
17,-0.04,0.02,-0.01,0.01,-0.03
18,0.05,0.01,0.0,0.03,0.01
19,0.04,-0.0,0.01,-0.01,0.01
20,0.0,0.01,0.02,0.04,-0.02
21,-0.04,-0.01,0.01,0.0,-0.08
22,-0.02,0.02,0.03,0.0,-0.0
23,0.05,0.02,0.0,0.02,0.0
24,-0.05,-0.01,0.04,0.01,-0.01
25,-0.08,-0.01,0.02,-0.0,-0.06
26,-0.02,0.03,-0.04,0.02,-0.01
27,0.02,0.01,0.01,0.01,-0.01
28,0.03,-0.04,0.0,0.04,-0.02
29,-0.03,-0.02,-0.0,0.0,-0.04
30,0.04,-0.04,0.0,0.05,-0.06
31,0.06,0.01,-0.0,0.02,-0.01
32,-0.02,-0.01,-0.0,0.02,-0.04
33,-0.04,-0.0,-0.0,0.02,-0.03
34,-0.03,-0.03,0.03,0.0,-0.02
35,0.12,0.23,0.12,0.13,0.01
36,0.12,1.77,0.74,0.42,0.01
37,0.23,1.91,1.1,0.87,0.01
38,0.27,1.52,1.23,1.21,0.08
39,0.72,1.64,1.15,1.76,0.17
40,1.32,1.61,1.1,1.88,0.22
41,1.85,1.57,1.21,1.88,0.46
42,1.51,1.48,1.07,1.57,0.42
43,1.9,1.5,1.13,1.78,0.63
44,2.77,1.47,1.16,1.74,0.77
45,2.36,1.35,1.25,1.72,0.65
46,1.55,1.36,1.1,1.31,0.55
47,1.75,1.5,1.22,1.39,0.53
48,1.93,1.39,1.18,1.47,0.57
49,1.71,1.42,1.18,1.31,0.54
50,1.49,1.26,1.15,1.34,0.56
51,1.57,1.17,1.16,1.23,0.47
52,1.99,1.23,1.1,1.38,0.53
53,1.35,1.24,1.01,1.29,0.56
54,1.78,1.37,1.06,1.21,0.5
55,1.53,1.33,1.07,1.24,0.49
56,1.68,1.45,1.08,1.32,0.53
57,1.49,1.34,1.04,1.26,0.42
58,1.3,1.31,1.0,1.12,0.42
59,1.03,1.22,1.01,1.23,0.36
60,1.62,1.32,1.05,1.39,0.4
61,1.53,1.23,1.02,1.18,0.34
62,1.32,1.22,1.01,1.24,0.38
63,1.03,1.18,0.88,0.86,0.3
64,1.21,1.21,0.97,1.19,0.35
65,1.43,1.23,0.97,1.12,0.32
66,1.12,1.14,0.9,0.92,0.29
67,0.99,1.2,0.94,0.9,0.31
68,1.04,1.09,0.94,1.06,0.27
69,1.37,1.25,0.95,1.09,0.33
70,1.35,1.16,0.96,1.18,0.34
71,1.06,1.19,0.95,0.94,0.27
72,1.12,1.18,0.91,1.16,0.31
73,1.37,1.2,0.93,1.12,0.29
74,1.01,1.12,0.93,1.13,0.3
75,1.07,1.24,0.91,0.98,0.28
76,0.89,1.18,0.91,0.83,0.29
77,1.37,1.22,0.92,1.01,0.27
78,1.0,1.14,0.87,1.03,0.25
79,0.91,1.2,0.87,1.02,0.24
80,0.97,1.15,0.93,0.93,0.19
81,1.28,1.19,0.84,0.97,0.26
82,1.13,1.16,0.87,0.98,0.25
83,0.96,1.18,0.9,1.01,0.26
84,0.87,1.13,0.87,0.9,0.14
85,1.21,1.22,0.85,0.95,0.26
86,1.25,1.15,0.84,0.95,0.25
87,1.21,1.15,0.84,0.94,0.26
88,0.78,1.15,0.8,0.89,0.23
89,1.0,1.08,0.84,0.98,0.21
90,1.1,1.19,0.85,0.92,0.27
91,0.93,1.13,0.88,0.99,0.23
92,0.95,1.11,0.83,0.82,0.21
93,1.1,1.03,0.9,0.83,0.23
94,1.17,1.14,0.84,0.95,0.23
95,1.04,0.99,0.83,0.99,0.22
96,1.06,1.1,0.84,0.87,0.18
97,0.67,1.12,0.77,0.71,0.16
98,1.07,1.15,0.84,0.9,0.22
99,0.86,1.13,0.85,0.93,0.18
100,0.92,1.13,0.83,0.88,0.18
101,0.71,1.08,0.83,0.86,0.18
102,1.2,1.19,0.82,0.86,0.21
103,0.86,1.11,0.79,0.9,0.22
104,0.76,1.02,0.77,0.94,0.19
105,0.72,1.14,0.84,0.74,0.16
106,1.07,1.13,0.84,0.94,0.24
107,1.03,1.1,0.8,0.84,0.24
108,0.91,1.16,0.85,0.89,0.21
109,0.8,1.05,0.77,0.87,0.17
110,0.76,1.18,0.84,0.89,0.22
111,1.0,1.15,0.83,0.9,0.22
112,0.93,1.1,0.78,0.82,0.17
113,0.84,1.06,0.78,0.83,0.19
114,0.84,1.08,0.77,0.87,0.22
115,1.04,1.1,0.77,0.86,0.22
116,0.77,1.13,0.77,0.95,0.18
117,1.0,1.09,0.77,0.83,0.14
118,0.76,1.1,0.79,0.79,0.17
119,0.96,1.12,0.77,0.84,0.18
120,0.83,1.07,0.74,0.79,0.15
121,0.96,1.07,0.78,0.84,0.2
122,0.66,1.05,0.75,0.81,0.18
123,1.1,1.09,0.77,0.86,0.17
124,0.92,1.09,0.76,0.81,0.15
125,0.71,1.09,0.77,0.83,0.17
126,0.7,1.03,0.77,0.81,0.13
127,0.81,1.13,0.69,0.83,0.21
128,0.99,1.09,0.77,0.92,0.18
129,0.77,1.08,0.78,0.73,0.15
130,0.71,1.06,0.78,0.78,0.12
131,0.81,0.98,0.75,0.86,0.17
132,0.87,1.06,0.74,0.84,0.18
133,0.93,1.06,0.82,0.78,0.15
134,0.77,1.06,0.75,0.86,0.14
135,0.78,1.13,0.8,0.66,0.14
136,0.86,1.09,0.75,0.8,0.14
137,0.74,1.12,0.69,0.74,0.15
138,0.84,1.04,0.74,0.76,0.12
139,0.72,1.06,0.68,0.8,0.14
140,0.84,1.08,0.78,0.86,0.15
141,0.87,1.1,0.74,0.8,0.16
142,0.96,1.15,0.77,0.84,0.14
143,0.78,1.27,0.82,0.97,0.15
144,1.59,1.68,0.94,1.57,0.26
145,1.35,1.5,0.86,1.41,0.25
146,1.28,1.78,0.86,1.55,0.26
147,1.09,1.88,0.73,1.39,0.19
148,1.23,2.18,0.62,1.36,0.23
149,1.49,1.5,0.59,1.38,0.25
150,1.18,1.15,0.59,1.41,0.31
151,1.34,0.9,0.46,1.05,0.31
152,1.18,0.76,0.43,0.99,0.3
153,1.26,0.73,0.39,0.84,0.31
154,1.13,0.69,0.4,0.74,0.34
155,1.13,0.65,0.36,0.67,0.28
156,1.21,0.58,0.31,0.68,0.31
157,1.53,0.6,0.31,0.72,0.34
158,1.26,0.6,0.27,0.65,0.27
159,1.17,0.56,0.27,0.64,0.29
160,1.15,0.56,0.29,0.62,0.27
161,1.28,0.52,0.28,0.63,0.31
162,1.1,0.5,0.25,0.57,0.24
163,1.2,0.51,0.26,0.56,0.28
164,0.82,0.49,0.21,0.43,0.2
165,0.97,0.49,0.23,0.53,0.24
166,0.97,0.47,0.22,0.46,0.22
167,0.88,0.46,0.2,0.52,0.2
168,0.62,0.44,0.21,0.41,0.18
169,0.7,0.47,0.21,0.46,0.15
