time,thumb,index,middle,ring,little
0,-0.1,-0.02,-0.02,-0.05,-0.12
1,-0.08,0.01,-0.03,-0.02,-0.06
2,0.03,0.02,0.01,0.02,0.04
3,-0.01,0.01,0.02,0.01,0.01
4,-0.09,-0.01,-0.04,-0.05,-0.1
5,-0.11,-0.02,-0.02,-0.06,-0.1
6,0.02,0.01,0.0,-0.0,0.02
7,-0.01,-0.0,0.0,-0.01,0.04
8,-0.06,-0.01,-0.01,-0.02,-0.05
9,-0.11,-0.04,-0.05,-0.05,-0.12
10,-0.05,-0.02,-0.02,0.0,-0.05
11,0.03,0.01,0.0,0.01,0.04
12,-0.05,-0.02,-0.02,-0.01,-0.02
13,-0.1,-0.02,-0.04,-0.05,-0.13
14,-0.07,-0.03,-0.01,-0.02,-0.05
15,0.01,0.02,-0.0,0.0,0.04
16,-0.03,-0.01,-0.01,-0.01,-0.0
17,-0.1,-0.03,-0.04,-0.07,-0.11
18,-0.11,-0.03,-0.04,-0.03,-0.1
19,0.02,-0.03,-0.01,0.03,0.07
20,-0.01,0.0,0.0,-0.04,0.03
21,-0.05,-0.02,-0.03,-0.03,-0.05
22,-0.12,-0.03,-0.04,-0.05,-0.11
23,-0.06,-0.0,-0.02,-0.05,-0.04
24,0.01,-0.0,-0.01,0.02,0.07
25,-0.03,-0.01,-0.02,0.02,-0.06
26,-0.11,-0.03,-0.03,-0.06,-0.12
27,-0.07,-0.02,-0.04,-0.03,-0.06
28,0.02,0.01,0.0,0.04,0.04
29,-0.02,-0.0,-0.01,0.02,-0.0
30,-0.1,-0.01,-0.02,-0.05,-0.11
31,-0.11,-0.02,-0.04,-0.04,-0.09
32,0.03,0.01,0.01,0.03,0.04
33,-0.01,-0.0,0.13,0.14,0.06
34,-0.06,-0.02,0.59,0.29,0.07
35,-0.04,-0.01,1.18,0.56,0.24
36,0.08,0.04,1.4,1.26,0.95
37,0.14,0.03,1.31,1.29,0.9
38,0.04,-0.01,1.14,1.17,0.74
39,-0.02,-0.02,1.05,1.0,0.51
40,0.05,-0.02,1.04,1.07,0.59
41,0.15,0.02,1.16,1.29,0.86
42,0.07,-0.0,1.03,0.81,0.68
43,-0.02,-0.03,0.93,0.81,0.48
44,-0.0,-0.04,0.98,0.77,0.44
45,0.13,0.0,1.01,1.0,0.78
46,0.09,-0.0,1.0,0.72,0.7
47,-0.0,-0.02,0.85,0.67,0.47
48,-0.03,-0.04,0.86,0.63,0.41
49,0.13,-0.0,0.98,0.88,0.68
50,0.07,0.0,0.96,0.8,0.66
51,0.02,-0.03,0.8,0.68,0.46
52,-0.05,-0.03,0.82,0.63,0.4
53,0.03,-0.0,0.88,0.66,0.52
54,0.11,0.0,0.96,0.84,0.71
55,0.05,-0.02,0.83,0.63,0.6
56,-0.04,-0.04,0.8,0.57,0.37
57,0.02,0.01,0.85,0.62,0.5
58,0.11,-0.0,0.95,0.78,0.68
59,0.05,-0.01,0.91,0.67,0.55
60,-0.04,-0.02,0.78,0.54,0.35
61,-0.03,-0.04,0.78,0.57,0.35
62,0.1,0.0,0.89,0.75,0.61
63,0.06,-0.01,0.84,0.66,0.58
64,-0.01,-0.01,0.8,0.56,0.37
65,-0.05,-0.03,0.75,0.49,0.32
66,0.05,0.01,0.85,0.61,0.56
67,0.07,0.02,0.87,0.61,0.59
68,0.02,-0.01,0.8,0.61,0.51
69,-0.06,-0.02,0.74,0.48,0.31
70,0.01,-0.01,0.75,0.5,0.43
71,0.15,0.02,1.23,1.12,0.85
72,0.03,-0.0,0.95,0.85,0.65
73,-0.05,-0.0,0.61,0.66,0.29
74,-0.01,0.02,0.51,0.63,0.37
75,0.12,0.04,0.46,0.57,0.46
76,0.04,0.02,0.37,0.42,0.33
77,-0.06,-0.01,0.37,0.36,0.15
78,-0.06,0.01,0.46,0.39,0.16
79,0.05,0.04,0.83,0.59,0.4
80,0.08,0.04,1.17,0.88,0.54
81,0.02,0.06,1.11,1.41,0.59
82,-0.01,0.08,1.07,1.2,0.57
83,0.07,0.09,1.15,1.37,0.79
84,0.14,0.1,1.13,1.31,0.75
85,0.07,0.04,1.01,0.99,0.55
86,-0.03,0.01,0.87,0.78,0.45
87,0.05,0.02,0.94,0.92,0.51
88,0.14,0.06,0.99,1.05,0.74
89,0.09,0.03,0.98,0.8,0.55
90,-0.03,-0.01,0.84,0.7,0.37
91,-0.01,0.01,0.83,0.75,0.44
92,0.13,0.05,0.97,0.92,0.66
93,0.09,0.04,0.82,0.84,0.58
94,0.02,0.01,0.81,0.66,0.37
95,-0.03,0.01,0.8,0.66,0.33
96,0.1,0.06,0.87,0.78,0.56
97,0.1,0.02,0.88,0.89,0.59
98,0.02,0.02,0.84,0.67,0.41
99,-0.04,0.02,0.75,0.57,0.3
100,0.05,0.04,0.81,0.7,0.43
101,0.13,0.04,0.89,0.8,0.59
102,0.04,0.07,0.86,0.67,0.5
103,-0.05,-0.0,0.75,0.56,0.27
104,-0.04,0.04,0.86,0.63,0.4
105,0.13,0.05,0.9,0.76,0.55
106,0.06,0.04,0.84,0.72,0.48
107,-0.03,0.0,0.79,0.52,0.32
108,-0.04,-0.0,0.74,0.56,0.29
109,0.09,0.06,0.84,0.75,0.59
110,0.07,0.03,0.8,0.67,0.53
111,-0.01,0.02,0.74,0.57,0.39
112,-0.05,0.01,0.73,0.49,0.28
113,0.02,0.03,0.79,0.63,0.53
114,0.11,0.02,0.84,0.74,0.52
115,0.04,0.04,0.75,0.59,0.43
116,-0.06,0.0,0.71,0.51,0.29
117,0.01,0.02,0.73,0.53,0.32
118,0.08,0.03,0.84,0.75,0.59
119,0.05,0.01,1.1,0.96,0.57
120,-0.03,-0.01,0.99,1.24,0.57
121,-0.01,0.01,0.62,0.94,0.45
122,0.24,0.05,0.52,0.8,0.62
123,0.3,0.05,0.42,0.47,0.47
124,0.2,0.02,0.35,0.36,0.25
125,0.12,0.03,0.48,0.4,0.22
126,0.29,0.05,0.96,0.85,0.47
127,0.29,0.03,1.35,1.41,0.7
128,0.26,0.04,1.24,1.71,0.65
129,0.18,-0.0,1.04,1.37,0.55
130,0.27,0.01,1.08,1.33,0.66
131,0.39,0.04,1.13,1.37,0.81
132,0.27,0.02,0.91,1.08,0.63
133,0.15,-0.01,0.92,0.85,0.39
134,0.17,-0.0,0.92,0.97,0.53
135,0.31,0.03,1.03,1.05,0.66
136,0.23,0.0,1.03,1.03,0.65
137,0.1,-0.0,0.86,0.78,0.39
138,0.1,-0.0,0.86,0.74,0.38
139,0.2,0.04,0.97,0.99,0.69
140,0.25,0.01,0.98,0.88,0.63
141,0.15,-0.0,0.88,0.76,0.45
142,0.09,-0.01,0.82,0.66,0.37
143,0.18,0.01,0.89,0.74,0.48
144,0.28,0.03,0.97,0.88,0.63
145,0.21,-0.02,0.8,0.71,0.48
146,0.07,-0.02,0.77,0.57,0.32
147,0.16,0.01,0.83,0.67,0.4
148,0.26,0.03,0.95,0.81,0.58
149,0.19,0.04,0.89,0.74,0.48
150,0.1,-0.01,0.8,0.56,0.31
151,0.08,-0.01,0.81,0.47,0.31
152,0.28,0.04,0.89,0.77,0.52
153,0.2,0.02,0.83,0.69,0.51
154,0.12,0.0,0.82,0.56,0.34
155,0.08,-0.01,0.76,0.48,0.27
156,0.15,0.03,0.88,0.71,0.49
157,0.24,0.02,0.87,0.66,0.51
158,0.14,0.04,0.81,0.62,0.42
159,0.04,-0.0,0.75,0.47,0.26
160,0.12,0.01,0.79,0.47,0.36
161,0.23,0.04,0.89,0.7,0.57
162,0.12,-0.02,0.87,0.57,0.48
163,0.04,-0.01,0.75,0.48,0.28
164,0.07,-0.01,0.79,0.5,0.32
165,0.22,0.03,0.86,0.7,0.55
166,0.16,0.03,0.8,0.58,0.43
167,0.08,-0.02,0.72,0.46,0.3
168,0.04,-0.02,0.71,0.46,0.25
169,0.18,0.01,0.78,0.58,0.47
170,0.17,-0.02,0.81,0.63,0.47
171,0.11,-0.01,0.77,0.5,0.32
172,0.03,-0.01,0.68,0.44,0.25
173,0.1,0.01,0.86,0.62,0.38
174,0.21,0.02,0.88,0.6,0.49
175,0.12,-0.0,0.76,0.54,0.4
176,0.05,-0.01,0.75,0.4,0.21
177,0.07,0.01,0.73,0.4,0.31
178,0.21,0.06,0.85,0.63,0.47
179,0.15,0.02,0.81,0.59,0.38
180,0.04,0.01,0.74,0.47,0.26
181,0.03,0.01,0.7,0.46,0.27
182,0.16,0.03,0.77,0.56,0.48
183,0.16,0.03,0.84,0.48,0.43
184,0.07,0.0,0.8,0.47,0.35
185,0.03,-0.01,1.0,0.78,0.41
186,0.15,-0.01,1.1,1.52,0.77
187,0.24,0.01,0.81,1.43,0.92
188,0.13,0.02,0.56,0.69,0.49
189,-0.01,-0.03,0.44,0.49,0.27
190,0.08,-0.03,0.55,0.51,0.4
191,0.19,0.01,1.08,1.37,0.67
192,0.16,0.03,1.24,2.22,0.7
193,0.04,0.03,1.16,1.54,0.5
194,0.09,0.04,1.05,1.2,0.53
195,0.22,0.05,1.14,1.29,0.79
196,0.16,0.04,1.04,1.22,0.69
197,0.07,0.02,0.85,0.85,0.45
198,0.02,-0.0,0.87,0.75,0.37
199,0.11,0.02,1.01,0.93,0.6
200,0.16,0.02,0.96,0.92,0.59
201,0.09,0.02,0.94,0.76,0.47
202,-0.01,-0.03,0.79,0.66,0.31
203,0.07,-0.04,0.86,0.76,0.43
204,0.18,0.03,0.96,0.92,0.62
205,0.09,0.01,0.85,0.72,0.47
206,0.0,0.0,0.81,0.59,0.29
207,0.02,-0.02,0.86,0.62,0.34
208,0.16,0.03,0.9,0.8,0.56
209,0.1,0.02,0.87,0.66,0.44
