time,thumb,index,middle,ring,little
0,-0.03,-0.01,0.02,0.02,-0.02
1,-0.11,-0.01,-0.01,-0.04,-0.05
2,-0.05,-0.01,0.01,-0.05,-0.02
3,0.01,0.01,0.02,0.01,0.04
4,-0.04,-0.01,-0.0,-0.02,-0.0
5,-0.1,-0.03,-0.02,-0.05,-0.09
6,-0.07,0.02,-0.02,-0.04,-0.05
7,0.02,0.01,0.01,0.02,0.01
8,-0.05,0.02,0.0,-0.01,-0.0
9,-0.09,-0.02,-0.01,-0.04,-0.08
10,-0.09,-0.0,0.01,-0.01,-0.08
11,0.01,0.01,0.01,0.01,0.01
12,-0.01,0.01,-0.0,-0.0,0.01
13,-0.1,-0.02,-0.01,-0.03,-0.07
14,-0.09,-0.01,-0.0,-0.03,-0.06
15,0.01,0.01,-0.0,-0.0,-0.0
16,-0.01,0.03,0.01,-0.01,0.0
17,-0.03,-0.01,0.0,-0.01,-0.08
18,-0.1,-0.01,-0.01,-0.03,-0.07
19,-0.05,-0.03,0.02,-0.01,0.0
20,0.03,0.02,-0.0,0.0,0.03
21,-0.03,0.0,-0.0,-0.01,-0.02
22,-0.11,-0.02,-0.02,-0.06,-0.09
23,-0.07,-0.02,-0.02,-0.04,-0.04
24,-0.0,-0.01,0.01,0.02,0.02
25,-0.05,-0.01,-0.0,-0.02,-0.01
26,-0.1,-0.04,-0.02,-0.04,-0.09
27,-0.09,-0.03,-0.01,-0.01,-0.06
28,-0.02,0.01,0.01,0.01,0.02
29,-0.0,-0.0,0.01,-0.01,0.0
30,-0.07,-0.03,-0.02,-0.05,-0.09
31,-0.09,-0.02,-0.0,-0.07,-0.07
32,-0.04,-0.01,-0.0,-0.01,0.01
33,-0.03,-0.01,-0.0,-0.0,-0.01
34,-0.05,0.19,-0.01,-0.03,-0.05
35,0.87,2.39,0.13,0.02,-0.03
36,1.67,1.99,0.15,0.01,-0.01
37,1.9,1.94,0.16,0.04,0.01
38,1.6,1.75,0.11,-0.0,-0.04
39,0.87,1.57,0.1,-0.03,-0.04
40,1.17,1.72,0.1,0.02,-0.02
41,1.32,1.76,0.12,0.03,0.06
42,1.11,1.7,0.08,0.02,-0.01
43,1.1,1.49,0.08,-0.02,-0.07
44,0.88,1.52,0.12,-0.02,-0.05
45,1.51,1.67,0.13,0.02,0.06
46,1.2,1.62,0.12,0.02,0.01
47,1.02,1.46,0.08,-0.02,-0.07
48,1.14,1.44,0.11,-0.04,-0.05
49,1.2,1.67,0.11,0.04,0.07
50,1.4,1.64,0.12,0.04,0.03
51,0.94,1.41,0.09,0.01,-0.04
52,1.07,1.44,0.1,-0.01,-0.05
53,1.13,1.48,0.13,0.03,0.01
54,1.32,1.64,0.11,0.02,0.0
55,0.96,1.46,0.1,-0.01,-0.04
56,0.97,1.4,0.09,-0.04,-0.05
57,0.96,1.44,0.09,-0.01,-0.01
58,1.27,1.58,0.13,0.03,0.05
59,1.24,1.55,0.09,0.0,-0.02
60,0.92,1.31,0.09,-0.03,-0.1
61,1.0,1.39,0.11,-0.01,-0.06
62,1.46,1.94,0.13,0.02,0.03
63,1.07,3.34,0.14,0.01,0.0
64,0.66,1.2,0.11,-0.03,-0.09
65,0.56,0.81,0.1,-0.01,-0.09
66,0.69,0.65,0.13,0.02,0.01
67,0.63,0.55,0.11,0.02,0.01
68,0.5,0.45,0.09,-0.02,-0.07
69,0.43,0.45,0.08,-0.02,-0.08
70,0.67,0.62,0.12,0.01,-0.0
71,0.98,2.71,0.12,0.01,0.0
72,1.34,2.24,0.1,-0.02,0.0
73,0.94,1.75,0.08,-0.03,-0.06
74,1.08,1.96,0.12,-0.01,-0.04
75,1.4,1.9,0.12,0.01,0.03
76,1.01,1.76,0.12,-0.01,-0.02
77,0.86,1.57,0.08,-0.07,-0.11
78,1.04,1.58,0.07,-0.04,-0.05
79,1.22,1.7,0.11,-0.0,0.01
80,1.13,1.5,0.11,-0.01,-0.0
81,0.84,1.43,0.06,-0.06,-0.1
82,0.86,1.48,0.11,-0.04,-0.08
83,1.06,1.63,0.1,0.02,0.02
84,1.04,1.57,0.08,-0.01,0.0
85,0.79,1.41,0.06,-0.04,-0.08
86,0.92,1.4,0.08,-0.04,-0.08
87,1.1,1.52,0.07,-0.01,0.01
88,0.96,1.5,0.08,0.02,0.01
89,0.78,1.46,0.06,-0.05,-0.06
90,0.83,1.4,0.04,-0.01,-0.05
91,0.8,1.5,0.07,0.01,-0.02
92,1.1,1.52,0.09,0.0,0.03
93,0.96,1.47,0.08,-0.03,-0.04
94,0.64,1.28,0.04,-0.05,-0.09
95,0.95,1.4,0.06,-0.04,-0.05
96,1.14,1.49,0.09,-0.01,0.03
97,1.07,1.44,0.07,-0.03,-0.02
98,0.67,1.32,0.05,-0.05,-0.09
99,0.81,1.46,0.06,-0.04,-0.07
100,1.15,1.84,0.07,0.02,0.03
101,0.79,1.93,0.1,-0.01,0.0
102,0.49,1.31,0.06,-0.05,-0.09
103,0.47,0.79,0.06,-0.04,-0.06
104,0.58,0.73,0.07,0.02,-0.0
105,0.41,0.58,0.08,-0.0,0.03
106,0.3,0.49,0.05,-0.03,-0.07
107,0.27,0.44,0.03,-0.04,-0.06
108,0.28,0.44,0.08,-0.03,-0.02
109,0.39,0.44,0.06,0.02,0.0
110,0.51,0.88,0.05,-0.01,-0.07
111,0.71,2.48,0.07,-0.04,-0.09
112,1.1,1.94,0.08,-0.06,-0.05
113,1.19,1.96,0.09,-0.0,0.05
114,1.11,1.79,0.1,-0.04,-0.02
115,0.7,1.6,0.07,-0.05,-0.09
116,0.92,1.59,0.02,-0.05,-0.04
117,1.11,1.75,0.13,0.01,0.03
118,0.86,1.75,0.08,-0.05,-0.02
119,0.64,1.46,0.08,-0.06,-0.09
120,0.64,1.49,0.06,-0.05,-0.09
121,0.97,1.59,0.09,-0.01,-0.02
122,1.01,1.62,0.11,0.02,0.01
123,0.77,1.5,0.06,-0.03,-0.05
124,0.81,1.5,0.08,-0.05,-0.08
125,0.83,1.63,0.07,-0.02,-0.0
126,1.07,1.66,0.07,-0.03,-0.02
127,0.74,1.53,0.05,-0.03,-0.04
128,0.59,1.4,0.05,-0.06,-0.08
129,0.93,1.48,0.07,-0.04,-0.08
130,0.97,1.6,0.09,-0.0,0.01
131,0.74,1.52,0.05,-0.04,-0.02
132,0.67,1.38,0.03,-0.07,-0.12
133,0.63,1.43,0.06,-0.05,-0.05
134,1.05,1.57,0.07,-0.02,0.01
135,0.97,1.49,0.08,-0.02,-0.01
136,0.55,1.33,0.03,-0.08,-0.12
137,0.61,1.46,0.04,-0.06,-0.09
138,1.03,1.42,0.06,-0.02,0.01
139,0.91,1.46,0.03,-0.03,-0.0
140,0.65,1.4,0.04,-0.05,-0.08
141,0.77,1.35,0.06,-0.06,-0.13
142,0.83,1.47,0.06,-0.01,-0.02
143,0.95,1.52,0.05,-0.01,-0.0
144,0.83,1.72,0.04,-0.05,-0.08
145,0.61,2.22,0.05,-0.05,-0.08
146,0.52,1.2,0.09,-0.03,-0.04
147,0.63,0.86,0.06,-0.01,0.01
148,0.35,0.65,0.07,-0.03,-0.04
149,0.23,0.46,0.02,-0.06,-0.11
150,0.33,0.47,0.04,-0.03,-0.07
151,0.48,0.45,0.06,-0.0,0.03
152,0.44,0.76,0.05,-0.02,-0.01
153,1.04,2.71,0.08,-0.06,-0.06
154,1.23,2.04,0.09,-0.04,-0.08
155,1.54,1.96,0.09,0.01,0.03
156,1.38,1.84,0.07,-0.01,-0.01
157,1.0,1.66,0.05,-0.04,-0.08
158,0.82,1.62,0.05,-0.05,-0.08
159,1.06,1.7,0.07,-0.01,-0.01
160,0.98,1.7,0.05,0.03,0.03
161,0.94,1.48,0.04,-0.06,-0.06
162,0.88,1.52,0.05,-0.05,-0.07
163,1.08,1.48,0.06,-0.01,-0.03
164,1.24,1.67,0.09,0.01,-0.01
165,0.86,1.54,0.08,-0.03,-0.05
166,0.58,1.41,0.05,-0.06,-0.1
167,0.79,1.39,0.06,-0.03,-0.05
168,1.08,1.57,0.08,0.01,0.03
169,0.86,1.5,0.06,0.01,-0.02
170,0.64,1.4,0.05,-0.06,-0.1
171,0.8,1.46,0.06,-0.04,-0.07
172,0.98,1.57,0.08,-0.01,0.02
173,0.86,1.47,0.07,-0.02,-0.0
174,0.68,1.42,0.05,-0.06,-0.11
175,0.77,1.41,0.05,-0.06,-0.08
176,1.01,1.55,0.07,-0.0,0.01
177,1.05,1.54,0.08,-0.01,0.01
178,0.82,1.36,0.06,-0.06,-0.06
179,0.67,1.39,0.05,-0.05,-0.07
180,0.86,1.52,0.06,-0.02,-0.0
181,1.2,1.52,0.07,-0.04,-0.02
182,0.74,1.54,0.05,-0.03,-0.07
183,0.62,1.33,0.04,-0.06,-0.09
184,0.91,1.47,0.01,-0.04,-0.06
185,1.05,1.6,0.07,-0.01,0.03
186,0.88,1.54,0.08,0.02,-0.04
187,0.76,2.92,0.05,-0.06,-0.13
188,0.6,1.08,0.07,-0.05,-0.07
189,0.6,0.73,0.06,-0.0,0.0
190,0.44,0.57,0.06,-0.0,-0.02
191,0.36,0.43,0.03,-0.06,-0.11
192,0.35,0.46,0.04,-0.02,-0.09
193,0.62,1.78,0.08,-0.01,-0.0
194,1.24,2.78,0.09,-0.03,-0.0
195,0.87,1.82,0.07,-0.06,-0.09
196,0.95,1.75,0.05,-0.05,-0.1
197,1.16,1.82,0.08,-0.03,-0.02
198,0.99,1.71,0.06,-0.03,-0.03
199,0.77,1.75,0.04,-0.04,-0.09
200,0.63,1.52,0.04,-0.06,-0.08
201,0.84,1.4,0.05,-0.05,-0.06
202,1.01,1.68,0.07,-0.02,-0.0
203,0.88,1.53,0.01,-0.01,-0.04
204,0.7,1.41,0.01,-0.06,-0.1
205,0.83,1.47,0.04,-0.04,-0.07
206,0.89,1.59,0.06,-0.01,0.01
207,0.73,1.57,0.04,-0.04,-0.04
208,0.59,1.36,0.02,-0.07,-0.1
209,0.79,1.39,0.06,-0.04,-0.07
