time,thumb,index,middle,ring,little
0,0.05,0.01,0.0,-0.0,-0.0
1,0.04,-0.02,0.03,0.0,0.03
2,0.02,-0.02,0.01,0.0,-0.05
3,-0.0,0.02,-0.0,0.0,0.01
4,0.03,-0.0,0.0,-0.01,0.02
5,-0.06,-0.01,0.02,0.04,-0.05
6,-0.01,0.01,0.01,-0.03,-0.03
7,-0.02,0.0,-0.01,-0.03,-0.05
8,0.05,0.01,0.01,0.0,-0.01
9,-0.06,0.02,0.0,0.03,-0.02
10,0.04,-0.0,-0.0,0.02,0.01
11,-0.02,0.02,0.0,-0.04,-0.09
12,0.05,-0.01,0.03,0.02,0.01
13,0.07,-0.02,0.03,0.01,-0.01
14,-0.04,0.03,-0.0,0.01,-0.06
15,-0.04,-0.02,0.03,0.03,-0.04
16,0.01,-0.02,0.03,-0.01,-0.02
17,0.05,0.0,-0.0,0.01,-0.01
18,0.01,-0.02,0.03,0.03,-0.03
19,-0.04,-0.03,0.01,0.0,-0.04
20,0.01,-0.01,-0.02,-0.01,-0.02
21,0.02,-0.01,0.01,0.0,0.0
22,0.01,0.03,0.0,0.03,-0.04
23,-0.01,0.01,0.01,0.01,-0.02
24,-0.01,0.03,-0.01,0.03,-0.05
25,0.01,0.01,-0.0,0.0,-0.0
26,-0.03,-0.02,-0.0,-0.01,-0.06
27,-0.01,0.01,0.01,-0.01,-0.02
28,-0.04,-0.01,0.0,-0.03,-0.03
29,0.04,-0.01,0.01,0.03,0.02
30,-0.01,-0.01,-0.01,0.01,0.01
31,0.04,0.0,0.01,-0.0,-0.02
32,-0.04,-0.05,0.02,-0.01,-0.05
33,0.07,0.73,0.05,0.03,0.07
34,0.09,2.42,0.03,0.03,0.07
35,0.17,2.28,0.02,-0.0,0.08
36,0.37,1.98,0.07,0.04,0.02
37,0.85,2.31,0.05,0.05,0.03
38,1.02,2.09,0.06,0.01,0.06
39,0.84,1.93,0.04,0.03,0.04
40,1.17,1.84,0.03,0.0,0.02
41,1.21,1.98,0.01,0.04,0.01
42,1.34,1.89,0.05,0.02,0.02
