time,thumb,index,middle,ring,little
0,-0.02,0.01,-0.0,-0.0,-0.02
1,0.02,0.03,-0.01,0.0,0.17
2,0.06,0.01,0.02,0.01,0.16
3,0.02,0.01,-0.01,-0.01,0.1
4,0.02,0.01,-0.0,-0.0,0.08
5,-0.03,-0.0,0.0,-0.07,0.07
6,0.05,0.01,0.0,0.03,0.11
7,-0.01,0.01,0.0,0.05,0.05
8,0.07,0.0,-0.02,0.03,0.05
9,0.01,-0.02,0.01,0.01,-0.02
10,0.14,-0.0,0.0,0.04,0.04
11,0.13,0.01,-0.01,0.03,-0.02
12,0.01,0.0,-0.02,0.04,0.04
13,0.02,0.02,0.02,-0.0,-0.03
14,0.08,-0.0,-0.01,0.05,-0.05
15,0.07,-0.01,-0.01,0.02,-0.0
16,0.1,-0.01,-0.0,0.01,-0.06
17,0.09,0.0,-0.0,0.02,-0.03
18,0.08,-0.01,-0.01,0.01,-0.12
19,0.14,0.0,0.01,0.03,-0.02
20,0.07,-0.01,-0.01,-0.0,-0.06
21,0.12,-0.0,-0.02,0.04,-0.06
22,0.08,-0.01,-0.01,0.01,-0.04
23,0.07,0.01,0.02,0.02,-0.05
24,0.08,-0.01,-0.01,0.06,-0.06
25,0.11,0.01,-0.0,0.01,-0.07
26,0.02,0.0,-0.01,0.05,-0.06
27,0.09,0.0,0.01,0.03,-0.04
28,0.06,-0.01,0.01,0.03,-0.06
29,0.1,-0.01,0.0,0.06,-0.08
30,0.02,-0.01,-0.0,0.03,-0.08
31,0.11,0.0,0.01,0.04,-0.05
32,0.1,0.01,0.0,0.03,-0.05
33,0.04,0.01,-0.01,0.01,-0.08
34,-0.01,-0.01,-0.02,-0.05,-0.12
35,0.22,0.01,0.01,0.12,0.68
36,0.4,0.02,0.14,0.28,1.58
37,0.36,0.03,0.29,0.5,2.59
38,0.31,-0.01,0.24,0.66,2.18
39,0.25,0.04,0.22,0.71,2.0
40,0.35,0.04,0.18,0.74,2.2
41,0.22,0.03,0.15,0.68,1.8
42,0.24,0.03,0.1,0.66,1.63
43,0.23,0.02,0.09,0.65,1.5
44,0.28,0.03,0.09,0.62,1.54
45,0.24,0.02,0.09,0.65,1.49
46,0.22,0.03,0.05,0.56,1.43
47,0.16,-0.01,0.04,0.6,1.35
48,0.23,0.02,0.03,0.57,1.42
49,0.21,0.01,0.06,0.53,1.34
50,0.22,0.04,0.03,0.53,1.2
51,0.08,0.05,0.02,0.47,1.05
52,0.19,0.03,0.03,0.56,1.34
53,0.25,0.02,0.03,0.5,1.29
54,0.19,0.02,0.02,0.57,1.32
55,0.12,-0.0,0.04,0.51,1.14
56,0.13,0.04,0.0,0.54,1.26
57,0.18,0.0,-0.0,0.54,1.24
58,0.16,0.01,0.05,0.55,1.13
59,0.12,-0.01,0.01,0.46,1.1
60,0.13,-0.0,-0.04,0.41,1.1
61,0.15,0.01,0.01,0.44,1.16
62,0.12,-0.02,-0.01,0.41,1.14
63,0.13,-0.01,0.02,0.41,1.09
64,0.05,-0.01,0.02,0.44,1.08
65,0.17,0.01,0.02,0.45,1.17
66,0.1,-0.01,0.02,0.46,1.22
67,0.13,-0.06,0.02,0.44,1.13
68,0.11,-0.04,-0.02,0.41,1.12
69,0.17,0.01,0.0,0.45,1.16
70,0.17,-0.0,-0.0,0.42,0.98
71,0.11,-0.05,-0.02,0.35,1.19
72,0.07,0.0,0.0,0.38,0.97
73,0.08,-0.03,-0.01,0.44,1.01
74,0.12,-0.01,-0.0,0.47,1.16
75,0.09,-0.01,0.01,0.42,1.06
76,0.06,-0.01,-0.01,0.38,1.01
77,0.06,-0.01,-0.04,0.44,1.1
78,0.12,0.0,-0.01,0.47,1.1
79,0.1,0.01,0.0,0.41,1.01
80,0.09,-0.02,-0.01,0.41,1.05
81,0.0,-0.03,-0.03,0.48,1.1
82,0.13,-0.02,-0.01,0.48,1.06
83,0.09,-0.03,0.01,0.37,1.01
84,0.08,-0.03,-0.01,0.44,1.0
85,0.01,-0.03,0.01,0.46,0.97
86,0.15,-0.02,-0.01,0.39,1.06
87,0.08,-0.03,-0.02,0.41,1.09
88,0.07,-0.06,-0.02,0.41,0.94
89,0.09,-0.03,-0.04,0.41,0.98
90,0.14,-0.03,-0.01,0.46,1.08
91,0.12,-0.02,-0.01,0.39,0.97
92,0.07,-0.03,-0.01,0.38,1.05
93,-0.0,-0.04,-0.04,0.37,0.77
94,0.07,-0.03,-0.01,0.43,1.0
95,0.12,-0.0,-0.02,0.41,1.04
96,0.07,-0.03,-0.04,0.39,0.99
97,0.05,-0.01,-0.02,0.31,0.85
98,0.1,-0.03,-0.0,0.37,0.9
99,0.12,-0.02,-0.03,0.37,0.93
100,0.07,-0.04,-0.01,0.35,0.87
101,0.07,-0.03,-0.05,0.35,0.86
102,0.04,-0.03,-0.03,0.35,0.9
103,0.1,-0.03,-0.03,0.39,0.9
104,0.05,-0.01,-0.05,0.38,0.92
105,0.07,-0.01,-0.03,0.34,0.95
106,0.06,-0.08,-0.05,0.4,0.84
107,0.08,-0.02,-0.04,0.38,0.91
108,0.08,-0.04,-0.04,0.28,0.87
109,0.04,-0.04,-0.04,0.34,0.82
110,0.06,-0.04,-0.05,0.34,0.86
111,0.1,-0.04,-0.03,0.37,0.99
112,0.0,-0.05,-0.05,0.41,0.86
113,0.06,-0.03,-0.03,0.28,0.91
