time,thumb,index,middle,ring,little
0,0.01,0.01,-0.02,-0.02,0.03
1,0.02,0.02,0.02,-0.0,-0.02
2,-0.04,-0.01,0.01,-0.03,-0.02
3,-0.03,-0.01,-0.06,-0.02,-0.02
4,0.02,-0.01,-0.01,0.01,0.03
5,0.0,-0.08,-0.04,0.02,-0.02
6,-0.04,-0.04,-0.02,-0.04,-0.07
7,0.0,0.03,0.04,-0.04,-0.03
8,0.05,-0.01,-0.01,-0.01,0.02
9,0.03,0.03,-0.06,-0.08,0.01
10,-0.06,-0.03,-0.01,-0.04,-0.06
11,-0.03,0.0,-0.02,-0.05,-0.04
12,0.02,-0.03,-0.03,-0.06,0.04
13,0.01,-0.02,0.03,-0.07,0.01
14,-0.04,-0.02,0.0,-0.04,-0.06
15,-0.03,-0.01,-0.07,-0.09,-0.07
16,0.04,-0.02,0.03,0.01,0.03
17,0.02,-0.0,-0.01,0.02,0.01
18,0.01,-0.02,-0.01,-0.01,-0.03
19,-0.08,-0.03,-0.01,-0.06,-0.04
20,-0.03,-0.03,-0.03,0.02,-0.04
21,0.05,-0.02,0.0,0.0,0.01
22,0.0,0.01,0.04,-0.01,-0.07
23,-0.05,-0.03,-0.01,-0.06,-0.09
24,-0.08,-0.03,-0.01,-0.03,-0.04
25,0.04,-0.02,0.01,0.0,0.01
26,0.02,-0.0,-0.04,-0.03,0.03
27,-0.05,-0.01,-0.04,-0.06,-0.06
28,-0.03,0.01,0.04,0.02,-0.03
29,0.03,-0.03,-0.03,0.02,0.01
30,0.04,-0.06,-0.03,-0.07,0.0
31,-0.03,-0.01,-0.02,-0.02,-0.03
32,0.01,0.09,0.03,0.0,-0.06
33,0.01,1.62,0.9,0.36,0.13
34,0.11,2.06,1.47,0.44,0.35
35,0.07,1.97,1.55,0.66,0.46
36,0.06,1.64,1.28,0.52,0.36
37,0.07,1.79,1.4,0.53,0.43
38,0.13,1.69,1.21,0.55,0.47
39,0.01,1.52,1.15,0.36,0.38
40,0.02,1.43,1.11,0.42,0.25
41,0.06,1.61,1.12,0.51,0.33
42,0.1,1.47,1.13,0.51,0.39
43,0.06,1.52,1.23,0.53,0.42
44,0.01,1.41,0.96,0.38,0.27
45,0.04,1.5,1.03,0.4,0.29
46,0.1,1.48,1.12,0.47,0.4
47,0.1,1.38,1.06,0.43,0.37
48,0.03,1.32,1.02,0.39,0.28
49,0.01,1.29,0.95,0.32,0.22
50,0.13,1.41,1.12,0.34,0.37
51,0.08,1.4,1.0,0.37,0.4
52,0.03,1.33,0.96,0.42,0.29
53,-0.01,1.29,0.97,0.36,0.27
54,0.07,1.44,0.95,0.25,0.27
55,0.1,1.37,1.01,0.37,0.38
56,0.07,1.39,0.94,0.34,0.37
57,-0.01,1.27,0.86,0.25,0.26
58,0.06,1.17,0.91,0.32,0.34
59,0.06,1.38,1.0,0.37,0.35
60,0.0,1.43,0.91,0.39,0.37
61,-0.01,1.28,0.85,0.24,0.23
62,-0.01,1.33,1.03,0.38,0.2
63,0.07,1.44,1.02,0.36,0.38
64,0.04,1.39,0.92,0.32,0.36
65,-0.03,1.3,0.92,0.32,0.27
66,-0.01,1.21,0.82,0.28,0.27
67,0.09,1.31,0.86,0.36,0.32
68,0.05,1.34,0.89,0.31,0.34
69,0.02,1.1,0.92,0.22,0.28
70,-0.03,1.21,0.86,0.28,0.23
71,0.02,1.37,0.92,0.39,0.28
72,0.05,1.38,0.92,0.33,0.36
73,0.03,1.74,1.03,0.76,0.37
74,-0.01,1.75,1.01,0.51,0.24
75,0.06,0.77,0.69,0.69,0.17
76,0.1,0.58,0.61,0.68,0.28
77,0.17,0.45,0.5,0.55,0.27
78,0.07,0.38,0.39,0.44,0.12
79,0.12,0.37,0.44,0.4,0.07
80,0.13,0.37,0.4,0.44,0.21
81,0.17,0.35,0.4,0.4,0.19
82,0.06,0.27,0.34,0.36,0.11
83,0.06,0.29,0.31,0.33,0.1
84,0.05,0.35,0.42,0.49,0.12
85,0.15,1.5,0.79,0.59,0.17
86,0.1,2.31,1.13,0.67,0.34
87,0.08,1.84,1.18,0.65,0.37
88,0.11,1.67,1.25,0.75,0.57
89,0.14,1.71,1.17,0.63,0.61
90,0.13,1.67,1.03,0.63,0.5
91,0.01,1.42,0.98,0.49,0.37
92,0.08,1.54,1.05,0.43,0.41
93,0.11,1.52,1.06,0.44,0.5
94,0.06,1.4,1.09,0.43,0.51
95,0.04,1.39,0.95,0.39,0.36
96,0.02,1.41,0.98,0.39,0.36
97,0.08,1.52,1.01,0.51,0.49
98,0.07,1.26,0.94,0.49,0.48
99,0.05,1.4,0.84,0.41,0.29
100,0.0,1.3,0.87,0.35,0.33
101,0.06,1.49,0.78,0.4,0.31
102,0.1,1.41,0.94,0.37,0.46
103,0.05,1.3,0.98,0.44,0.35
104,-0.03,1.23,0.8,0.3,0.27
105,0.04,1.42,0.84,0.43,0.32
106,0.09,1.42,0.95,0.36,0.48
107,0.05,1.27,0.84,0.35,0.41
108,-0.02,1.25,0.76,0.28,0.31
109,-0.02,1.09,0.76,0.3,0.36
110,0.04,1.38,0.93,0.44,0.42
111,0.07,1.34,0.75,0.23,0.42
112,-0.02,1.29,0.82,0.3,0.32
113,-0.01,1.17,0.75,0.28,0.26
114,0.04,1.33,0.81,0.34,0.42
115,0.09,1.38,0.88,0.39,0.42
116,0.06,1.2,0.83,0.3,0.3
117,-0.04,1.2,0.78,0.31,0.29
118,0.01,1.23,0.8,0.39,0.38
119,0.07,1.3,0.86,0.37,0.48
120,0.07,1.38,0.78,0.28,0.3
121,-0.03,1.18,0.77,0.25,0.27
122,-0.04,1.14,0.75,0.2,0.29
123,0.1,1.2,0.86,0.28,0.46
124,0.05,1.31,0.79,0.29,0.41
125,0.02,1.15,0.76,0.23,0.31
126,-0.03,1.17,0.74,0.21,0.3
127,0.09,1.38,0.84,0.29,0.3
128,0.05,1.34,0.88,0.31,0.43
129,0.01,1.11,0.74,0.32,0.23
130,-0.01,1.18,0.74,0.2,0.28
131,0.05,1.35,0.83,0.15,0.3
132,0.1,1.26,0.82,0.34,0.41
133,0.05,1.11,0.74,0.25,0.4
134,-0.03,1.16,0.72,0.2,0.23
135,-0.02,1.32,0.87,0.18,0.24
136,0.08,1.26,0.82,0.32,0.42
137,-0.01,1.07,0.66,0.19,0.29
138,-0.03,1.19,0.69,0.21,0.27
139,-0.05,1.15,0.72,0.28,0.27
140,0.03,1.32,0.76,0.28,0.45
141,0.04,1.35,0.78,0.28,0.39
142,0.0,1.15,0.6,0.28,0.26
143,-0.05,1.16,0.71,0.23,0.28
144,0.04,1.07,0.74,0.34,0.37
145,0.04,1.26,0.78,0.29,0.41
146,0.01,1.03,0.74,0.22,0.34
147,-0.04,1.06,0.67,0.21,0.2
148,0.0,1.15,0.71,0.29,0.35
149,0.06,1.27,0.78,0.24,0.43
150,0.01,1.21,0.74,0.28,0.42
151,-0.06,1.1,0.69,0.18,0.25
152,-0.03,1.24,0.79,0.21,0.27
153,0.06,1.13,0.85,0.32,0.41
154,0.05,1.33,0.79,0.32,0.43
155,-0.06,1.33,0.87,0.32,0.33
156,0.01,1.91,0.94,0.72,0.39
157,0.0,1.44,0.84,0.66,0.43
158,0.07,0.86,0.63,0.52,0.34
159,0.01,0.59,0.52,0.33,0.24
160,-0.01,0.44,0.41,0.35,0.11
161,0.1,0.4,0.45,0.25,0.16
162,0.12,0.4,0.39,0.43,0.34
163,0.08,0.37,0.37,0.32,0.17
164,-0.03,0.31,0.3,0.3,0.09
165,0.05,0.49,0.35,0.46,0.13
166,0.16,1.22,0.67,0.64,0.24
167,0.13,2.07,1.12,0.6,0.33
168,0.12,1.98,1.34,0.87,0.45
169,0.11,1.6,1.1,0.74,0.51
170,0.19,1.85,1.18,0.71,0.61
171,0.14,1.59,1.22,0.64,0.61
172,0.12,1.39,1.1,0.4,0.46
173,0.04,1.48,1.03,0.49,0.41
174,0.05,1.66,1.02,0.46,0.53
175,0.13,1.64,1.13,0.52,0.57
176,0.04,1.28,1.01,0.44,0.54
177,-0.01,1.41,0.96,0.43,0.36
178,0.04,1.32,0.95,0.44,0.44
179,0.08,1.51,1.06,0.44,0.53
180,0.08,1.54,0.95,0.38,0.54
181,-0.05,1.32,0.92,0.38,0.36
182,-0.01,1.41,0.76,0.36,0.36
183,0.05,1.5,1.02,0.52,0.56
184,0.03,1.38,1.05,0.51,0.56
185,0.03,1.16,0.95,0.42,0.42
186,-0.06,1.31,0.84,0.35,0.37
187,-0.0,1.26,0.86,0.38,0.43
188,0.05,1.42,0.94,0.45,0.51
189,0.03,1.4,0.88,0.44,0.42
190,-0.05,1.26,0.84,0.3,0.3
191,-0.01,1.26,0.74,0.36,0.29
192,0.05,1.38,0.93,0.44,0.48
193,0.01,1.32,1.0,0.46,0.46
194,-0.04,1.18,0.79,0.33,0.31
195,-0.04,1.23,0.74,0.32,0.33
196,-0.01,1.24,0.9,0.46,0.45
197,0.01,1.47,0.85,0.36,0.46
198,-0.03,1.37,0.9,0.31,0.36
199,-0.05,1.26,0.86,0.31,0.33
